나이,성별,결혼,종교,학위,부서,이직계획유무,건강상태,근무지역,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직퇴직여부,임상경력일,병동경력일,최종임상경력일,최종병동경력일_참고만,최종임상경력월,최종임상경력월_소수점반올림,최종임상경력년,년차_2
41,2,1,1,1,1,2,2,1,3.647058824,3.625,4,3.25,0,0,5260,1610,5260,1610,175.3333333,175,15,4
29,2,1,1,2,2,1,2,2,4.117647059,4.125,4.2,4,0,0,1155,365,1155,365,38.5,39,4,3
29,2,2,5,2,1,2,1,5,3.764705882,3.875,3.6,3.75,0,0,2645,1155,2645,1155,88.16666667,88,8,4
28,2,2,1,2,2,1,2,1,3.882352941,3.75,4,4,0,0,1185,425,1185,425,39.5,40,4,3
37,2,2,5,2,1,1,3,1,3.705882353,3.375,4.6,3.25,0,0,2095,1125,2095,1125,69.83333333,70,7,3
42,2,1,5,2,1,1,2,1,3.352941176,3.375,3.6,3,0,0,3830,2125,3830,2125,127.6666667,128,11,4
25,2,2,3,1,2,1,2,1,3.588235294,3.625,3.4,3.75,0,0,1335,1335,1335,1335,44.5,45,4,3
27,2,2,1,1,2,1,1,1,4.058823529,4.25,3.8,4,0,0,1945,1030,1945,1030,64.83333333,65,7,3
25,1,2,1,2,2,1,2,1,3.941176471,3.75,4,4.25,1,1,1520,395,1475,350,49.16666667,49,6,3
27,2,2,5,1,2,2,3,1,3.588235294,3.625,3.4,3.75,0,0,1670,425,1670,425,55.66666667,56,6,3
38,2,1,1,2,1,1,3,1,3.823529412,3.875,4,3.5,0,0,3650,3650,3650,3650,121.6666667,122,11,4
29,1,2,5,2,2,1,3,1,5,5,5,5,0,0,2250,2250,2250,2250,75,75,7,4
26,2,2,5,2,1,2,2,1,3.823529412,3.875,4.2,3.25,0,0,1095,60,1095,60,36.5,37,4,3
26,2,2,5,2,1,2,2,1,3.705882353,2.875,4.4,4.5,0,0,2095,2095,2095,2095,69.83333333,70,7,3
29,2,2,1,2,2,2,2,1,2.941176471,2.875,3.6,2.25,0,0,2735,1640,2735,1640,91.16666667,91,8,4
30,2,2,1,1,2,1,3,1,3.647058824,3.75,3.8,3.25,0,0,2095,730,2095,730,69.83333333,70,7,3
28,2,2,5,1,2,2,3,1,3.764705882,3.5,4,4,1,1,1915,760,1461,306,48.7,49,6,3
34,2,1,2,2,1,2,2,1,3.941176471,4,4.2,3.5,0,0,3070,365,3070,365,102.3333333,102,9,4
29,2,2,5,2,2,2,2,1,4,3.875,4.6,3.5,1,1,1520,760,1079,319,35.96666667,36,3,2
24,2,2,5,2,1,1,2,5,4,4,4.2,3.75,0,0,730,730,730,730,24.33333333,24,2,2
26,2,2,5,2,1,1,2,1,3.882352941,3.75,4,4,0,0,1490,60,1490,60,49.66666667,50,6,3
29,2,2,3,2,1,2,3,5,3.294117647,3.375,3.4,3,0,0,3375,2980,3375,2980,112.5,113,10,4
27,2,2,5,1,2,1,3,1,3.941176471,4.25,3.6,3.75,1,1,2615,760,2190,335,73,73,7,4
27,2,1,5,2,2,1,2,1,3.647058824,3.5,4,3.5,0,0,2585,1945,2585,1945,86.16666667,86,8,4
29,2,2,5,1,1,1,2,5,3.058823529,2.875,3.2,3.25,1,1,2825,880,2103,158,70.1,70,7,3
26,1,2,5,2,2,2,2,1,4.117647059,4.125,4.4,3.75,0,0,1520,1155,1520,1155,50.66666667,51,6,3
33,1,2,1,2,2,1,3,1,3.705882353,3.5,4,3.75,0,0,1945,330,1945,330,64.83333333,65,7,3
36,2,1,2,2,1,1,3,1,4.529411765,4.625,4.6,4.25,0,0,4075,1610,4075,1610,135.8333333,136,12,4
27,2,2,5,2,2,2,2,5,3.588235294,3.375,4,3.5,0,0,1275,1215,1275,1215,42.5,43,4,3
25,2,2,1,2,1,1,2,1,3.588235294,3.625,3.8,3.25,0,0,1095,575,1095,575,36.5,37,4,3
25,2,2,5,2,1,2,2,1,3.823529412,3.75,4.2,3.5,0,0,575,270,575,270,19.16666667,19,2,2
30,2,1,5,2,2,1,3,1,3,3,3,3,1,1,4045,425,3907,287,130.2333333,130,11,4
32,2,2,5,1,1,2,3,1,3.411764706,3.125,3.8,3.5,0,0,3285,3285,3285,3285,109.5,110,10,4
46,2,2,2,2,1,1,3,1,4.294117647,4,4.6,4.5,0,0,2220,1520,2220,1520,74,74,7,4
30,2,2,5,2,2,1,3,1,3.823529412,3.75,4.4,3.25,1,1,3465,575,3235,345,107.8333333,108,9,4
34,2,1,5,2,1,2,3,1,3.588235294,3.625,3.4,3.75,0,0,3040,1825,3040,1825,101.3333333,101,9,4
36,1,1,1,1,2,1,2,1,3.764705882,3.75,4.2,3.25,0,0,2950,2950,2950,2950,98.33333333,98,9,4
28,1,2,5,1,2,1,2,5,3,2.875,3.2,3,0,0,1275,1275,1275,1275,42.5,43,4,3
29,2,2,5,2,2,1,3,5,4.411764706,4.25,4.4,4.75,0,0,820,90,820,90,27.33333333,27,3,2
28,2,1,1,2,2,2,3,1,3.470588235,3.25,3.4,4,0,0,2795,365,2795,365,93.16666667,93,8,4
26,2,2,5,2,2,1,3,1,3.941176471,4,4,3.75,0,0,2095,1550,2095,1550,69.83333333,70,7,3
40,2,1,2,1,2,2,3,1,3.705882353,3.75,3.6,3.75,0,0,4345,4345,4345,4345,144.8333333,145,13,4
35,2,2,2,2,1,2,2,1,3.529411765,3.5,4,3,0,0,3650,30,3650,30,121.6666667,122,11,4
28,2,2,1,2,1,2,1,1,3.470588235,3.25,4,3.25,0,0,1700,395,1700,395,56.66666667,57,6,3
34,2,2,1,2,1,1,4,1,3.705882353,3.75,3.8,3.5,0,0,3285,3285,3285,3285,109.5,110,10,4
26,2,2,3,2,2,1,2,5,4.117647059,4.25,4,4,0,0,1490,1275,1490,1275,49.66666667,50,6,3
25,2,2,1,2,1,1,3,1,3.823529412,3.875,3.8,3.75,0,0,1885,760,1885,760,62.83333333,63,7,3
28,2,1,5,3,1,2,2,2,3.941176471,4.125,4,3.5,0,0,2555,1095,2555,1095,85.16666667,85,8,4
23,2,2,5,1,2,2,2,1,3.941176471,3.625,4.2,4.25,0,0,1185,1125,1185,1125,39.5,40,4,3
30,2,2,2,2,2,1,2,1,4.117647059,4.125,4.2,4,0,0,730,730,730,730,24.33333333,24,2,2
30,2,1,1,2,2,1,2,5,4,4,4,4,0,0,2190,90,2190,90,73,73,7,4
38,2,1,5,2,1,2,2,5,3.352941176,3.5,3.6,2.75,1,1,4345,485,4207,347,140.2333333,140,12,4
27,2,2,5,2,1,2,1,1,3.764705882,3.375,4.2,4,1,1,2855,575,2564,284,85.46666667,85,8,4
45,2,1,1,1,1,1,2,1,3.294117647,3.625,3,3,0,0,7665,3650,7665,3650,255.5,256,22,4
31,2,1,5,1,2,2,3,4,3.647058824,3.75,3.4,3.75,0,0,4345,1305,4345,1305,144.8333333,145,13,4
28,2,1,5,2,1,2,2,1,4,4.375,3.8,3.5,0,0,1460,455,1460,455,48.66666667,49,6,3
27,2,1,1,2,1,1,2,1,4.235294118,4.25,4,4.5,0,0,730,365,730,365,24.33333333,24,2,2
30,1,2,5,2,1,2,2,1,3.705882353,3.625,3.8,3.75,0,0,1305,1305,1305,1305,43.5,44,4,3
39,2,2,2,1,2,1,3,1,4.470588235,4.375,4.8,4.25,0,0,2920,1825,2920,1825,97.33333333,97,9,4
30,2,2,2,1,1,1,3,1,3.411764706,3.5,3.4,3.25,0,0,3130,2645,3130,2645,104.3333333,104,9,4
46,2,1,1,2,2,2,1,1,3.882352941,4,4.4,3,0,0,7600,2555,7600,2555,253.3333333,253,22,4
27,2,1,1,2,2,1,2,1,4.352941176,4.125,4.8,4.25,0,0,2220,1030,2220,1030,74,74,7,4
38,2,2,2,2,2,2,1,1,3,3,3,3,0,0,2920,2920,2920,2920,97.33333333,97,9,4
27,2,2,1,1,1,1,2,3,3.705882353,3.5,4.2,3.5,0,0,1155,425,1155,425,38.5,39,4,3
32,2,2,3,2,1,1,2,1,3.470588235,3.75,3.4,3,0,0,3285,1095,3285,1095,109.5,110,10,4
25,2,2,5,2,2,2,2,1,4.176470588,4.125,4,4.5,0,0,880,880,880,880,29.33333333,29,3,2
30,2,2,5,1,1,1,2,6,2.058823529,2,2,2.25,0,0,1975,1185,1975,1185,65.83333333,66,7,3
26,2,2,5,1,1,1,3,3,3.588235294,3.25,4,3.75,0,0,1640,1095,1640,1095,54.66666667,55,6,3
28,2,2,5,1,1,1,2,5,3.941176471,3.75,4.2,4,0,0,3710,3710,3710,3710,123.6666667,124,11,4
33,2,1,3,1,2,2,3,3,4,3.875,4.4,3.75,0,0,2615,2615,2615,2615,87.16666667,87,8,4
26,2,2,2,2,2,2,3,5,3.588235294,3.875,3.4,3.25,0,0,2400,2400,2400,2400,80,80,7,4
27,2,2,5,2,1,1,2,5,3.823529412,4.125,3.4,3.75,0,0,2220,760,2220,760,74,74,7,4
29,2,2,5,1,2,2,2,1,3.176470588,2.75,3.8,3.25,0,0,3315,3190,3315,3190,110.5,111,10,4
31,2,1,5,2,1,2,2,5,4.058823529,3.75,4.6,4,0,0,3010,2585,3010,2585,100.3333333,100,9,4
46,2,1,1,1,1,2,2,1,3.352941176,3.375,3.6,3,0,0,2370,2220,2370,2220,79,79,7,4
29,2,1,5,2,1,2,3,4,3.352941176,3.5,3.2,3.25,0,0,2735,1275,2735,1275,91.16666667,91,8,4
31,2,2,3,1,1,2,2,1,3.823529412,3.875,3.8,3.75,0,0,1825,365,1825,365,60.83333333,61,7,3
32,2,2,5,2,2,1,1,1,4.470588235,4.875,4.4,3.75,0,0,2065,365,2065,365,68.83333333,69,7,3
26,2,2,5,2,1,1,4,1,3.647058824,3.625,3.8,3.5,0,0,1425,1425,1425,1425,47.5,48,4,3
31,2,2,2,2,1,1,2,1,3.294117647,3.625,3,3,0,0,2555,730,2555,730,85.16666667,85,8,4
34,2,1,5,2,1,2,2,1,3.411764706,3.5,3.6,3,0,0,1490,1490,1490,1490,49.66666667,50,6,3
34,2,1,3,1,2,2,2,1,4.294117647,4.25,4.4,4.25,0,0,2250,1825,2250,1825,75,75,7,4
34,2,1,1,3,2,1,1,1,4.411764706,4.125,4.6,4.75,0,0,4345,4345,4345,4345,144.8333333,145,13,4
30,2,2,1,2,2,1,2,1,3.941176471,4.125,3.8,3.75,0,0,2765,2765,2765,2765,92.16666667,92,8,4
27,2,2,2,2,1,1,2,1,3.764705882,3.875,3.8,3.5,0,0,2220,1275,2220,1275,74,74,7,4
31,1,1,2,2,2,1,2,5,3.941176471,4,3.8,4,0,0,2950,2950,2950,2950,98.33333333,98,9,4
26,2,2,5,1,1,1,2,5,3.588235294,3.75,3.8,3,0,0,1155,150,1155,150,38.5,39,4,3
36,2,2,1,2,2,1,2,4,3.235294118,3,3.6,3.25,0,0,4440,545,4440,545,148,148,13,4
26,2,2,1,2,1,1,3,2,3.588235294,3.5,3.8,3.5,0,0,1640,1640,1640,1640,54.66666667,55,6,3
32,2,1,5,2,1,2,3,3,3.882352941,3.375,4.8,3.75,0,0,3585,2155,3585,2155,119.5,120,10,4
26,2,2,5,2,2,2,2,5,3.588235294,3.5,3.6,3.75,0,0,2585,910,2585,910,86.16666667,86,8,4
29,2,1,5,2,1,1,2,1,4.058823529,4,4.4,3.75,0,0,1885,790,1885,790,62.83333333,63,7,3
26,2,2,1,2,1,1,3,1,3.117647059,3.375,3.2,2.5,0,0,365,180,365,180,12.16666667,12,1,1
26,2,2,5,2,1,1,4,5,2.764705882,2.5,3.2,2.75,1,1,1365,455,713,-197,23.76666667,24,2,2
28,2,2,1,2,1,2,4,1,3.647058824,3.5,4,3.5,1,1,2220,425,1717,-78,57.23333333,57,6,3
25,2,2,1,2,1,1,2,5,3.470588235,3.25,3.4,4,0,0,455,455,455,455,15.16666667,15,2,2
28,2,1,3,2,1,1,3,1,3.294117647,3.125,3.6,3.25,0,0,2585,1490,2585,1490,86.16666667,86,8,4
30,2,2,2,2,1,1,3,5,4.058823529,4.125,4,4,0,0,2125,2125,2125,2125,70.83333333,71,7,3
36,2,1,5,2,1,2,2,1,4.117647059,4,4.4,4,0,0,3650,1095,3650,1095,121.6666667,122,11,4
30,2,1,5,2,1,2,2,1,3.882352941,3.875,4.2,3.5,0,0,1640,760,1640,760,54.66666667,55,6,3
31,2,1,1,2,2,2,2,1,4.117647059,4.25,4.2,3.75,0,0,2825,2825,2825,2825,94.16666667,94,8,4
34,2,2,1,1,1,2,2,5,3.411764706,3.125,4.2,3,0,0,3650,605,3650,605,121.6666667,122,11,4
25,2,2,3,2,2,1,2,1,4.117647059,4.125,4.2,4,0,0,880,575,880,575,29.33333333,29,3,2
29,2,2,5,1,2,1,2,1,3.470588235,3.75,3.2,3.25,0,0,2555,2555,2555,2555,85.16666667,85,8,4
30,2,2,1,2,2,2,2,1,3.588235294,3.375,4,3.5,0,0,2950,1610,2950,1610,98.33333333,98,9,4
25,2,2,5,2,2,1,3,1,3.352941176,3.75,3.2,2.75,0,0,1520,1000,1520,1000,50.66666667,51,6,3
28,2,1,1,2,1,2,2,1,3.941176471,4,4.4,3.25,0,0,2885,2885,2885,2885,96.16666667,96,8,4
26,2,2,1,2,1,1,3,1,3.823529412,4.125,4.2,2.75,0,0,730,180,730,180,24.33333333,24,2,2
25,2,2,1,2,1,1,2,3,3.823529412,4,4,3.25,0,0,635,635,635,635,21.16666667,21,2,2
33,2,1,5,3,1,2,1,2,3,3,3,3,0,0,2980,2370,2980,2370,99.33333333,99,9,4
28,2,2,5,2,1,1,3,1,3.705882353,3.875,3.6,3.5,0,0,2220,1365,2220,1365,74,74,7,4
24,2,2,2,2,1,1,3,1,3.588235294,3.875,3.2,3.5,0,0,1275,1275,1275,1275,42.5,43,4,3
27,2,2,5,2,1,2,2,1,3.470588235,3.25,4,3.25,0,0,2370,2370,2370,2370,79,79,7,4
26,2,2,5,2,2,1,3,1,3.117647059,2.75,3.4,3.5,0,0,760,760,760,760,25.33333333,25,3,2
25,2,2,5,2,1,1,3,1,3.764705882,4.125,3.2,3.75,0,0,1125,1125,1125,1125,37.5,38,4,3
26,2,2,1,1,1,2,3,1,3.764705882,4.25,3.8,2.75,1,1,2645,515,2369,239,78.96666667,79,7,4
24,2,2,5,2,1,2,2,1,3.470588235,3.375,3.8,3.25,0,0,1275,1275,1275,1275,42.5,43,4,3
24,2,2,1,2,2,1,2,1,2.705882353,2,3.6,3,0,0,485,300,485,300,16.16666667,16,2,2
27,2,1,5,1,1,1,3,1,3.470588235,3.375,3.6,3.5,0,0,1095,730,1095,730,36.5,37,4,3
27,2,2,5,2,1,2,3,1,3.529411765,3.625,3.4,3.5,0,0,1185,30,1185,30,39.5,40,4,3
27,2,2,5,1,2,1,2,1,3.705882353,3.5,4.2,3.5,0,0,1825,1825,1825,1825,60.83333333,61,7,3
32,2,1,5,2,2,2,2,1,3.705882353,3.5,4,3.75,0,0,3710,1550,3710,1550,123.6666667,124,11,4
24,2,2,5,2,2,2,2,1,3.647058824,3.5,3.8,3.75,1,1,1490,1335,1127,972,37.56666667,38,4,3
30,2,2,5,1,1,1,3,6,3.294117647,3,3.6,3.5,0,0,2400,90,2400,90,80,80,7,4
29,2,2,2,2,2,1,2,1,3.411764706,3.25,3.8,3.25,0,0,880,330,880,330,29.33333333,29,3,2
27,2,2,5,2,2,1,2,5,3.411764706,3.5,3.8,2.75,0,0,3220,1305,3220,1305,107.3333333,107,9,4
28,2,2,5,2,2,2,2,1,3.058823529,2.625,3.2,3.75,1,1,2950,1490,2479,1019,82.63333333,83,7,4
23,2,2,5,2,1,2,3,1,3.058823529,2.625,3.6,3.25,0,0,365,360,365,360,12.16666667,12,1,1
31,2,1,5,2,1,1,3,3,3.705882353,4,3.6,3.25,0,0,2615,755,2615,755,87.16666667,87,8,4
29,2,2,1,1,1,1,3,4,3.411764706,3.25,3.6,3.5,1,1,2885,605,2521,241,84.03333333,84,7,4
35,2,2,5,2,1,2,3,1,3.235294118,3.125,3.2,3.5,0,0,3650,365,3650,365,121.6666667,122,11,4
42,2,1,2,2,2,1,3,1,3.823529412,3.875,4,3.5,0,0,1520,910,1520,910,50.66666667,51,6,3
27,2,1,5,2,1,1,2,1,3.941176471,3.75,4,4.25,1,1,2855,605,2520,270,84,84,7,4
27,2,1,5,2,1,2,2,1,3.764705882,3.625,4.2,3.5,0,0,1335,240,1335,240,44.5,45,4,3
30,2,1,5,1,2,1,2,1,3.882352941,3.625,4.2,4,0,0,3680,2585,3680,2585,122.6666667,123,11,4
24,2,2,5,2,1,1,3,1,3.823529412,3.625,4.2,3.75,0,0,1610,1610,1610,1610,53.66666667,54,6,3
36,2,1,5,2,1,1,2,1,3.352941176,3.25,3.8,3,1,1,3040,820,2355,135,78.5,79,7,4
26,1,2,3,2,1,1,1,5,4,4,4,4,0,0,730,730,730,730,24.33333333,24,2,2
31,2,2,5,3,2,1,2,1,3.941176471,3.625,4,4.5,0,0,2735,425,2735,425,91.16666667,91,8,4
44,2,1,5,1,1,1,3,1,3.823529412,3.5,4.2,4,1,1,4045,4045,3450,3450,115,115,10,4
32,2,2,5,1,1,1,2,1,3,3,3,3,0,0,820,940,820,940,27.33333333,27,3,2
27,2,2,2,2,2,1,2,1,3.529411765,3.25,3.8,3.75,1,1,2220,1125,1855,760,61.83333333,62,7,3
33,2,2,5,1,2,2,2,5,3.529411765,3.625,3.6,3.25,0,0,2005,1095,2005,1095,66.83333333,67,7,3
26,2,2,1,1,1,1,3,1,4.411764706,4.625,4,4.5,0,0,910,820,910,820,30.33333333,30,3,2
30,2,2,1,2,2,2,2,1,3.647058824,3.75,3.4,3.75,0,0,2460,1520,2460,1520,82,82,7,4
27,2,1,1,1,2,1,2,5,3.411764706,3.625,3.2,3.25,0,0,1460,365,1460,365,48.66666667,49,6,3
31,2,2,5,2,2,1,2,2,4,4,4,4,0,0,2705,850,2705,850,90.16666667,90,8,4
31,2,1,1,2,2,1,2,1,4.176470588,4.5,3.8,4,0,0,3315,3315,3315,3315,110.5,111,10,4
31,2,1,2,1,2,1,2,1,3.235294118,3.125,3.4,3.25,0,0,3650,2555,3650,2555,121.6666667,122,11,4
27,2,2,1,2,2,1,2,1,3.411764706,3.125,3.8,3.5,0,0,1855,695,1855,695,61.83333333,62,7,3
32,2,1,5,2,1,2,3,1,3.470588235,3.375,3.6,3.5,0,0,1885,1885,1885,1885,62.83333333,63,7,3
36,1,1,2,2,2,2,2,1,3.941176471,3.625,4.2,4.25,0,0,4345,4345,4345,4345,144.8333333,145,13,4
51,1,1,5,2,1,2,3,1,4.294117647,4.25,4.4,4.25,0,0,8760,365,8760,365,292,292,25,4
28,2,2,5,2,2,1,3,5,3.058823529,3.375,3,2.5,0,0,2585,1855,2585,1855,86.16666667,86,8,4
28,2,1,5,1,2,1,3,5,3.058823529,2.875,3.2,3.25,0,0,4045,1520,4045,1520,134.8333333,135,12,4
25,2,2,2,2,2,2,2,1,3.882352941,3.875,4,3.75,0,0,300,300,300,300,10,10,1,1
30,2,2,5,2,1,1,4,1,4.176470588,4.125,4.2,4.25,0,0,3710,910,3710,910,123.6666667,124,11,4
27,2,1,5,2,1,2,2,1,4,4,4,4,1,1,1185,1185,1016,1016,33.86666667,34,3,2
31,2,2,2,2,1,1,4,1,3.235294118,3,3.4,3.5,0,0,1460,240,1460,240,48.66666667,49,6,3
29,2,2,1,2,1,2,3,5,3.470588235,3,3.6,4.25,0,0,2280,940,2280,940,76,76,7,4
32,2,1,5,2,2,1,3,1,3,3,3,3,0,0,3285,1460,3285,1460,109.5,110,10,4
30,2,1,5,1,2,1,1,1,3.647058824,2.5,4.4,5,0,0,2920,1825,2920,1825,97.33333333,97,9,4
28,2,2,5,2,1,1,2,1,3.588235294,3.5,3.6,3.75,0,0,1155,1155,1155,1155,38.5,39,4,3
30,2,1,1,2,1,1,3,1,3.470588235,3.625,3.2,3.5,0,0,1275,60,1275,60,42.5,43,4,3
27,2,2,5,1,1,1,2,5,3.588235294,3.375,3.8,3.75,0,0,2555,730,2555,730,85.16666667,85,8,4
30,2,2,5,1,1,1,1,5,4,4.125,4,3.75,1,1,4045,760,3497,212,116.5666667,117,10,4
32,2,1,5,1,1,2,2,1,4,4.125,4,3.75,0,0,4045,665,4045,665,134.8333333,135,12,4
25,2,1,5,2,2,2,2,1,3.588235294,3.125,4.2,3.75,0,0,1945,1855,1945,1855,64.83333333,65,7,3
27,2,1,5,1,1,2,2,5,3.941176471,4,4,3.75,0,0,2220,910,2220,910,74,74,7,4
30,2,2,5,1,1,1,2,1,3.411764706,3.375,3.8,3,0,0,3315,1640,3315,1640,110.5,111,10,4
27,2,2,5,1,1,2,3,3,4.117647059,4.5,3.8,3.75,0,0,2855,2855,2855,2855,95.16666667,95,8,4
27,2,2,1,2,1,2,4,1,4.588235294,4.25,5,4.75,0,0,1125,1125,1125,1125,37.5,38,4,3
25,2,2,5,2,2,1,3,1,4.294117647,4.625,4,4,0,0,575,545,575,545,19.16666667,19,2,2
26,2,2,2,2,2,2,2,1,3.411764706,3.75,3.2,3,0,0,2795,1245,2795,1245,93.16666667,93,8,4
25,2,2,5,2,2,1,3,1,3.470588235,3.5,3.4,3.5,0,0,1425,515,1425,515,47.5,48,4,3
25,2,2,5,2,2,1,3,5,4,3.625,4.4,4.25,0,0,820,820,820,820,27.33333333,27,3,2
27,2,1,1,2,1,2,3,4,3.058823529,3.125,3,3,0,0,2950,1490,2950,1490,98.33333333,98,9,4
26,2,2,1,2,2,1,3,1,3.705882353,3.25,4.4,3.75,1,1,2220,395,1619,-206,53.96666667,54,6,3
36,2,2,1,2,2,1,2,3,3.764705882,3.625,4,3.75,1,1,1520,790,754,24,25.13333333,25,3,2
26,2,2,5,1,1,1,2,3,4.058823529,4.25,4.2,3.5,0,0,730,545,730,545,24.33333333,24,2,2
39,2,1,1,1,2,2,2,1,3.588235294,3.625,3.8,3.25,0,0,1460,150,1460,150,48.66666667,49,6,3
29,2,1,5,2,2,1,3,1,3.705882353,3.875,3,4.25,0,0,2855,2125,2855,2125,95.16666667,95,8,4
32,2,2,5,2,2,1,3,1,3.352941176,3.625,3.4,2.75,1,1,3100,880,2444,224,81.46666667,81,7,4
28,2,2,1,1,2,1,3,1,3.882352941,3.625,4,4.25,0,0,1335,730,1335,730,44.5,45,4,3
34,2,1,5,1,2,2,2,1,3.705882353,3.75,3.4,4,0,0,4345,1915,4345,1915,144.8333333,145,13,4
29,2,2,5,2,2,2,2,1,4.470588235,4.625,4.4,4.25,0,0,2190,1460,2190,1460,73,73,7,4
27,2,2,1,2,1,1,3,5,3.588235294,3.375,4,3.5,0,0,1095,1095,1095,1095,36.5,37,4,3
29,2,1,1,2,1,1,2,1,3.529411765,3.625,3.6,3.25,0,0,1885,790,1885,790,62.83333333,63,7,3
32,2,2,3,2,2,1,3,1,3.705882353,3.75,4,3.25,0,0,1030,1030,1030,1030,34.33333333,34,3,2
27,2,2,2,2,2,1,3,5,4.529411765,4.75,4.2,4.5,0,0,2765,2585,2765,2585,92.16666667,92,8,4
28,2,2,1,2,2,1,2,1,3.117647059,3.375,3.2,2.5,0,0,3345,880,3345,880,111.5,112,10,4
32,2,1,5,1,1,2,3,4,3.588235294,3.75,3.6,3.25,0,0,3980,910,3980,910,132.6666667,133,12,4
27,2,2,5,2,1,2,3,1,3.352941176,3.125,4.2,2.75,0,0,2615,1155,2615,1155,87.16666667,87,8,4
29,2,1,1,2,1,2,2,1,3.764705882,3.875,3.8,3.5,0,0,365,365,365,365,12.16666667,12,1,1
27,2,2,5,2,1,1,3,1,3.882352941,3.625,4.2,4,0,0,1275,1275,1275,1275,42.5,43,4,3
27,2,2,1,2,2,1,2,3,4.058823529,3.75,4.6,4,0,0,820,240,820,240,27.33333333,27,3,2
30,2,1,5,2,2,2,2,1,3.882352941,3.75,4,4,0,0,2555,1125,2555,1125,85.16666667,85,8,4
38,2,1,3,2,1,2,2,1,3.529411765,3.25,4.2,3.25,0,0,4345,4345,4345,4345,144.8333333,145,13,4
25,2,2,1,1,1,1,2,1,4.058823529,3.875,4.4,4,0,0,730,730,730,730,24.33333333,24,2,2
27,2,2,1,2,2,1,2,1,4.235294118,4,4.6,4.25,0,0,1095,1095,1095,1095,36.5,37,4,3
26,2,2,5,2,2,1,1,1,4.058823529,4.125,4.2,3.75,0,0,2095,1060,2095,1060,69.83333333,70,7,3
30,1,2,1,3,2,1,4,1,4.882352941,4.75,5,5,0,0,1825,730,1825,730,60.83333333,61,7,3
26,2,2,5,2,2,1,3,4,3.294117647,3,3.2,4,0,0,1365,1125,1365,1125,45.5,46,4,3
29,2,2,5,1,1,2,3,1,3.470588235,3.375,3.6,3.5,1,1,3980,455,3689,164,122.9666667,123,11,4
26,2,2,5,2,1,1,3,1,3.764705882,3.5,3.8,4.25,0,0,1490,365,1490,365,49.66666667,50,6,3
32,2,1,5,2,1,1,3,1,3.882352941,4.375,3.4,3.5,1,1,3680,455,3543,318,118.1,118,10,4
35,2,2,1,1,1,1,3,1,3.470588235,3.375,4,3,0,0,3100,760,3100,760,103.3333333,103,9,4
33,1,2,1,1,2,2,2,1,4.882352941,5,5,4.5,1,1,1855,760,1673,578,55.76666667,56,6,3
28,2,2,5,2,1,2,2,3,3.588235294,4,3.4,3,0,0,3680,515,3680,515,122.6666667,123,11,4
35,2,2,2,1,2,2,3,1,4,3.875,4.2,4,0,0,4045,2585,4045,2585,134.8333333,135,12,4
25,2,2,5,2,2,2,2,5,3.705882353,3.375,4.8,3,0,0,665,665,665,665,22.16666667,22,2,2
30,2,2,5,2,2,1,1,1,4.647058824,4.625,4.6,4.75,0,0,2220,1520,2220,1520,74,74,7,4
29,2,1,1,2,1,1,3,1,3.529411765,3.375,3.8,3.5,0,0,2190,1095,2190,1095,73,73,7,4
36,2,1,5,1,2,1,2,1,3.705882353,3.375,4,4,0,0,3345,2980,3345,2980,111.5,112,10,4
35,1,1,5,2,2,1,2,1,4,3.75,4.6,3.75,0,0,2950,2950,2950,2950,98.33333333,98,9,4
26,2,2,5,1,1,1,2,1,4.176470588,4.25,4,4.25,1,1,1275,455,864,44,28.8,29,3,2
25,2,2,5,1,2,2,2,5,3.470588235,3.75,3.4,3,0,0,1095,240,1095,240,36.5,37,4,3
27,2,2,1,1,1,1,3,1,4,3.875,4.2,4,0,0,1095,1095,1095,1095,36.5,37,4,3
48,2,1,5,1,1,2,2,1,3.117647059,3.375,3.2,2.5,0,0,3920,3920,3920,3920,130.6666667,131,11,4
26,2,2,5,2,1,2,3,1,3.235294118,3.375,3.6,2.5,0,0,120,30,120,30,4,4,1,1
24,2,2,2,2,1,1,3,1,3.823529412,3.875,3.8,3.75,0,0,365,365,365,365,12.16666667,12,1,1
30,2,2,5,2,1,1,3,5,3.647058824,3.375,4,3.75,0,0,2250,395,2250,395,75,75,7,4
37,2,2,3,1,1,2,3,1,3.470588235,3.25,3.8,3.5,0,0,1610,90,1610,90,53.66666667,54,6,3
28,2,2,5,2,2,1,2,3,3.352941176,3.25,3.6,3.25,0,0,3585,1125,3585,1125,119.5,120,10,4
31,2,1,5,2,1,1,3,1,3.529411765,3.5,3.6,3.5,1,1,2370,665,2033,328,67.76666667,68,7,3
29,2,2,1,1,1,2,1,1,3.117647059,2.875,3.6,3,0,0,3220,1305,3220,1305,107.3333333,107,9,4
28,2,1,3,2,2,1,2,1,3.647058824,3.5,4.2,3.25,0,0,2190,760,2190,760,73,73,7,4
28,2,2,5,1,2,1,2,1,3.764705882,3.875,3.8,3.5,0,0,2920,730,2920,730,97.33333333,97,9,4
31,2,1,5,2,1,1,2,3,3,3,3,3,0,0,2370,395,2370,395,79,79,7,4
26,2,2,1,2,1,2,3,1,3.117647059,3.375,3.2,2.5,0,0,1700,1580,1700,1580,56.66666667,57,6,3
