나이,성별,결혼,종교,학위,부서,이직계획유무,건강상태,근무지역,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직+퇴직여부,임상경력(일),병동경력(일),최종임상경력(일),최종병동경력(일)_참고만,최종임상경력(월),최종임상경력(월)_소수점 반올림,최종임상경력(년),년차_2
28,2,2,5,1,2,2,2,3,3.59,3.75,3.6,3.25,1,1,2765,2035,2505,1775,84,84,7,4
32,2,1,3,1,2,1,3,1,4.06,4.25,4,3.75,0,0,850,850,850,850,28,28,3,2
28,2,2,5,2,2,2,2,3,3.59,3.25,4,3.75,0,0,3220,1125,3220,1125,107,107,9,4
26,2,2,5,2,2,1,2,1,3.59,3.63,3.8,3.25,0,0,2765,1305,2765,1305,92,92,8,4
27,2,2,5,1,1,2,3,5,3.65,4.13,3.2,3.25,0,0,3615,1885,3615,1885,121,121,11,4
24,2,2,2,2,2,1,2,1,4.47,4.63,4.8,3.75,1,1,1490,910,896,316,30,30,3,2
27,2,2,5,2,1,2,3,1,3.71,3.88,4,3,0,0,2980,1520,2980,1520,99,99,9,4
29,2,2,5,2,2,2,2,1,3.59,3.63,3.6,3.5,0,0,2735,2735,2735,2735,91,91,8,4
30,2,2,2,2,2,1,2,1,3.47,3.75,3,3.5,1,1,2220,605,1904,289,63,63,7,3
24,2,2,1,2,2,1,3,1,4,4,4,4,0,0,1760,760,1760,760,59,59,6,3
25,2,2,1,1,2,2,2,1,3.59,3.88,3.6,3,0,0,2585,2585,2585,2585,86,86,8,4
26,2,2,5,2,2,2,2,1,3.53,3.88,3.4,3,0,0,4045,760,4045,760,135,135,12,4
31,2,1,5,2,2,2,2,1,3.18,2.63,4.4,2.75,0,0,4345,4345,4345,4345,145,145,13,4
25,2,2,5,2,1,2,2,1,4.24,4.63,4,3.75,0,0,1335,1335,1335,1335,45,45,4,3
32,2,2,1,2,1,2,1,4,4,4,4,4,0,0,1945,1125,1945,1125,65,65,7,3
37,2,2,5,2,1,1,3,1,3.71,3.38,4.6,3.25,0,0,2095,1125,2095,1125,70,70,7,3
25,1,2,1,2,2,1,2,1,3.94,3.75,4,4.25,1,1,1520,395,1475,350,49,49,6,3
29,1,2,5,2,2,1,3,1,5,5,5,5,0,0,2250,2250,2250,2250,75,75,7,4
29,2,2,5,2,2,2,2,1,4,3.88,4.6,3.5,1,1,1520,760,1079,319,36,36,3,2
29,2,2,3,2,1,2,3,5,3.29,3.38,3.4,3,0,0,3375,2980,3375,2980,113,113,10,4
27,2,1,5,2,2,1,2,1,3.65,3.5,4,3.5,0,0,2585,1945,2585,1945,86,86,8,4
29,2,2,5,1,1,1,2,5,3.06,2.88,3.2,3.25,1,1,2825,880,2103,158,70,70,7,3
26,1,2,5,2,2,2,2,1,4.12,4.13,4.4,3.75,0,0,1520,1155,1520,1155,51,51,6,3
36,2,1,2,2,1,1,3,1,4.53,4.63,4.6,4.25,0,0,4075,1610,4075,1610,136,136,12,4
30,2,1,5,2,2,1,3,1,3,3,3,3,1,1,4045,425,3907,287,130,130,11,4
30,2,2,5,2,2,1,3,1,3.82,3.75,4.4,3.25,1,1,3465,575,3235,345,108,108,9,4
26,2,2,5,2,2,1,3,1,3.94,4,4,3.75,0,0,2095,1550,2095,1550,70,70,7,3
40,2,1,2,1,2,2,3,1,3.71,3.75,3.6,3.75,0,0,4345,4345,4345,4345,145,145,13,4
23,2,2,5,1,2,2,2,1,3.94,3.63,4.2,4.25,0,0,1185,1125,1185,1125,40,40,4,3
38,2,1,5,2,1,2,2,5,3.35,3.5,3.6,2.75,1,1,4345,485,4207,347,140,140,12,4
27,2,2,5,2,1,2,1,1,3.76,3.38,4.2,4,1,1,2855,575,2564,284,85,85,8,4
31,2,1,5,1,2,2,3,4,3.65,3.75,3.4,3.75,0,0,4345,1305,4345,1305,145,145,13,4
27,2,1,1,2,2,1,2,1,4.35,4.13,4.8,4.25,0,0,2220,1030,2220,1030,74,74,7,4
27,2,2,1,1,1,1,2,3,3.71,3.5,4.2,3.5,0,0,1155,425,1155,425,39,39,4,3
28,2,2,5,1,1,1,2,5,3.94,3.75,4.2,4,0,0,3710,3710,3710,3710,124,124,11,4
27,2,2,5,2,1,1,2,5,3.82,4.13,3.4,3.75,0,0,2220,760,2220,760,74,74,7,4
29,2,2,5,1,2,2,2,1,3.18,2.75,3.8,3.25,0,0,3315,3190,3315,3190,111,111,10,4
31,2,1,5,2,1,2,2,5,4.06,3.75,4.6,4,0,0,3010,2585,3010,2585,100,100,9,4
46,2,1,1,1,1,2,2,1,3.35,3.38,3.6,3,0,0,2370,2220,2370,2220,79,79,7,4
34,2,1,1,3,2,1,1,1,4.41,4.13,4.6,4.75,0,0,4345,4345,4345,4345,145,145,13,4
31,1,1,2,2,2,1,2,5,3.94,4,3.8,4,0,0,2950,2950,2950,2950,98,98,9,4
32,2,1,5,2,1,2,3,3,3.88,3.38,4.8,3.75,0,0,3585,2155,3585,2155,120,120,10,4
26,2,2,5,2,1,1,4,5,2.76,2.5,3.2,2.75,1,1,1365,455,713,-197,24,24,2,2
28,2,2,1,2,1,2,4,1,3.65,3.5,4,3.5,1,1,2220,425,1717,-78,57,57,6,3
28,2,1,3,2,1,1,3,1,3.29,3.13,3.6,3.25,0,0,2585,1490,2585,1490,86,86,8,4
30,2,1,5,2,1,2,2,1,3.88,3.88,4.2,3.5,0,0,1640,760,1640,760,55,55,6,3
28,2,2,5,2,1,1,3,1,3.71,3.88,3.6,3.5,0,0,2220,1365,2220,1365,74,74,7,4
26,2,2,1,1,1,2,3,1,3.76,4.25,3.8,2.75,1,1,2645,515,2369,239,79,79,7,4
24,2,2,5,2,1,2,2,1,3.47,3.38,3.8,3.25,0,0,1275,1275,1275,1275,43,43,4,3
27,2,2,5,2,2,1,2,5,3.41,3.5,3.8,2.75,0,0,3220,1305,3220,1305,107,107,9,4
28,2,2,5,2,2,2,2,1,3.06,2.63,3.2,3.75,1,1,2950,1490,2479,1019,83,83,7,4
24,2,2,5,2,1,1,3,1,3.82,3.63,4.2,3.75,0,0,1610,1610,1610,1610,54,54,6,3
36,2,1,5,2,1,1,2,1,3.35,3.25,3.8,3,1,1,3040,820,2355,135,79,79,7,4
44,2,1,5,1,1,1,3,1,3.82,3.5,4.2,4,1,1,4045,4045,3450,3450,115,115,10,4
31,2,1,1,2,2,1,2,1,4.18,4.5,3.8,4,0,0,3315,3315,3315,3315,111,111,10,4
27,2,2,1,2,2,1,2,1,3.41,3.13,3.8,3.5,0,0,1855,695,1855,695,62,62,7,3
36,1,1,2,2,2,2,2,1,3.94,3.63,4.2,4.25,0,0,4345,4345,4345,4345,145,145,13,4
28,2,1,5,1,2,1,3,5,3.06,2.88,3.2,3.25,0,0,4045,1520,4045,1520,135,135,12,4
30,2,2,5,2,1,1,4,1,4.18,4.13,4.2,4.25,0,0,3710,910,3710,910,124,124,11,4
27,2,1,5,2,1,2,2,1,4,4,4,4,1,1,1185,1185,1016,1016,34,34,3,2
30,2,2,5,1,1,1,1,5,4,4.13,4,3.75,1,1,4045,760,3497,212,117,117,10,4
32,2,1,5,1,1,2,2,1,4,4.13,4,3.75,0,0,4045,665,4045,665,135,135,12,4
25,2,1,5,2,2,2,2,1,3.59,3.13,4.2,3.75,0,0,1945,1855,1945,1855,65,65,7,3
27,2,2,5,1,1,2,3,3,4.12,4.5,3.8,3.75,0,0,2855,2855,2855,2855,95,95,8,4
26,2,2,2,2,2,2,2,1,3.41,3.75,3.2,3,0,0,2795,1245,2795,1245,93,93,8,4
27,2,1,1,2,1,2,3,4,3.06,3.13,3,3,0,0,2950,1490,2950,1490,98,98,9,4
26,2,2,1,2,2,1,3,1,3.71,3.25,4.4,3.75,1,1,2220,395,1619,-206,54,54,6,3
36,2,2,1,2,2,1,2,3,3.76,3.63,4,3.75,1,1,1520,790,754,24,25,25,3,2
32,2,2,5,2,2,1,3,1,3.35,3.63,3.4,2.75,1,1,3100,880,2444,224,81,81,7,4
34,2,1,5,1,2,2,2,1,3.71,3.75,3.4,4,0,0,4345,1915,4345,1915,145,145,13,4
27,2,2,2,2,2,1,3,5,4.53,4.75,4.2,4.5,0,0,2765,2585,2765,2585,92,92,8,4
28,2,2,1,2,2,1,2,1,3.12,3.38,3.2,2.5,0,0,3345,880,3345,880,112,112,10,4
32,2,1,5,1,1,2,3,4,3.59,3.75,3.6,3.25,0,0,3980,910,3980,910,133,133,12,4
27,2,2,5,2,1,2,3,1,3.35,3.13,4.2,2.75,0,0,2615,1155,2615,1155,87,87,8,4
27,2,2,5,2,1,1,3,1,3.88,3.63,4.2,4,0,0,1275,1275,1275,1275,43,43,4,3
38,2,1,3,2,1,2,2,1,3.53,3.25,4.2,3.25,0,0,4345,4345,4345,4345,145,145,13,4
26,2,2,5,2,2,1,1,1,4.06,4.13,4.2,3.75,0,0,2095,1060,2095,1060,70,70,7,3
29,2,2,5,1,1,2,3,1,3.47,3.38,3.6,3.5,1,1,3980,455,3689,164,123,123,11,4
32,2,1,5,2,1,1,3,1,3.88,4.38,3.4,3.5,1,1,3680,455,3543,318,118,118,10,4
28,2,2,5,2,1,2,2,3,3.59,4,3.4,3,0,0,3680,515,3680,515,123,123,11,4
35,2,2,2,1,2,2,3,1,4,3.88,4.2,4,0,0,4045,2585,4045,2585,135,135,12,4
30,2,2,5,2,2,1,1,1,4.65,4.63,4.6,4.75,0,0,2220,1520,2220,1520,74,74,7,4
26,2,2,5,1,1,1,2,1,4.18,4.25,4,4.25,1,1,1275,455,864,44,29,29,3,2
30,2,2,5,2,1,1,3,5,3.65,3.38,4,3.75,0,0,2250,395,2250,395,75,75,7,4
28,2,2,5,2,2,1,2,3,3.35,3.25,3.6,3.25,0,0,3585,1125,3585,1125,120,120,10,4
31,2,1,5,2,1,1,3,1,3.53,3.5,3.6,3.5,1,1,2370,665,2033,328,68,68,7,3
