나이,성별,결혼,종교,학위,부서,이직계획유무,건강상태,근무지역,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직+퇴직여부,임상경력(일),병동경력(일),최종임상경력(일),최종병동경력(일)_참고만,최종임상경력(월),최종임상경력(월)_소수점 반올림,최종임상경력(년),년차_2
27,2,2,5,2,1,1,2,3,3.65,3.63,3.8,3.5,0,0,1760,1030,1760,1030,59,59,6,3
31,2,2,5,2,2,2,1,1,2.65,2.13,3.6,2.5,1,1,3315,635,2963,283,99,99,9,4
37,2,2,5,2,1,2,2,5,3.94,3.5,4.2,4.5,0,0,4345,1730,4345,1730,145,145,13,4
28,2,2,1,2,2,2,2,5,4,4,4.2,3.75,0,0,2250,850,2250,850,75,75,7,4
26,2,1,5,1,2,2,2,5,4.12,4.5,3.8,3.75,1,1,2520,455,1956,-109,65,65,7,3
23,2,2,1,2,1,1,3,1,3.82,3.75,4,3.75,0,0,1245,910,1245,910,42,42,4,3
34,2,1,1,1,1,2,3,1,3.41,3.13,3.8,3.5,1,1,3890,485,3722,317,124,124,11,4
26,2,2,1,2,2,1,3,1,3.82,4,3.8,3.5,1,1,2520,515,1955,-50,65,65,7,3
27,1,2,1,2,1,1,2,1,4.12,3.88,4.4,4.25,0,0,1760,1395,1760,1395,59,59,6,3
24,2,2,1,2,2,2,2,5,3.82,4.13,3.6,3.5,0,0,1670,1670,1670,1670,56,56,6,3
34,2,1,1,2,1,2,4,1,3.35,3.5,3.6,2.75,0,0,4045,2220,4045,2220,135,135,12,4
37,2,2,1,2,1,2,2,1,3.82,3.5,4.2,4,0,0,1520,910,1520,910,51,51,6,3
28,2,1,3,1,2,1,3,1,3.71,3.75,3.8,3.5,0,0,3680,970,3680,970,123,123,11,4
30,2,1,2,2,2,1,3,1,4.47,4.38,4.6,4.5,0,0,2065,1155,2065,1155,69,69,7,3
29,2,2,5,2,1,1,2,1,3.35,3,4,3.25,0,0,3860,910,3860,910,129,129,11,4
28,2,2,2,1,2,2,2,1,2.88,3,3,2.5,0,0,2370,1640,2370,1640,79,79,7,4
27,2,2,2,2,1,1,3,1,2.94,3,3,2.75,1,1,2585,395,2092,-98,70,70,7,3
22,2,2,5,2,1,1,2,3,3.82,4,3.6,3.75,1,1,1335,515,1136,316,38,38,4,3
27,2,2,5,2,2,2,2,1,3.82,3.5,4.4,3.75,0,0,2950,1395,2950,1395,98,98,9,4
35,2,2,5,2,1,2,3,1,3.94,4.13,3.6,4,1,1,4045,1125,3328,408,111,111,10,4
27,2,1,5,2,1,2,2,1,4.06,4.25,4.4,3.25,0,0,2220,1520,2220,1520,74,74,7,4
25,2,2,5,1,1,1,3,5,3.53,3.5,4,3,1,1,2400,605,1928,133,64,64,7,3
26,2,2,1,2,2,2,2,1,3.82,4,3.6,3.75,0,0,2310,1855,2310,1855,77,77,7,4
29,2,2,5,1,1,1,3,1,3.53,3.5,3.4,3.75,1,1,3160,760,2658,258,89,89,8,4
32,2,2,5,2,2,1,3,5,4.41,4.5,4.4,4.25,1,1,4345,635,3993,283,133,133,12,4
27,2,2,5,2,2,1,2,1,4.24,4.5,4.4,3.5,0,0,1640,2735,1640,2735,55,55,6,3
29,2,2,3,2,1,1,2,5,3.35,3.38,3.2,3.5,1,1,1855,575,1625,345,54,54,6,3
29,2,2,5,2,2,2,2,1,3.71,3.63,4,3.5,1,1,3315,3315,3148,3148,105,105,9,4
36,2,1,2,2,1,2,2,1,3.35,3.63,2.6,3.75,0,0,4075,1155,4075,1155,136,136,12,4
34,2,2,1,2,2,2,1,1,4,3.88,4.4,3.75,0,0,2950,2645,2950,2645,98,98,9,4
26,2,2,5,1,1,1,3,1,3.53,3.5,3.6,3.5,0,0,2005,1490,2005,1490,67,67,7,3
32,2,1,5,1,2,2,2,1,3.59,3.38,4.2,3.25,1,1,3100,1215,2444,559,81,81,7,4
28,2,1,2,2,1,2,3,1,4.06,4.25,4,3.75,0,0,2220,760,2220,760,74,74,7,4
29,2,2,3,2,2,2,2,3,3.35,3.75,3,3,0,0,3680,3680,3680,3680,123,123,11,4
31,2,2,5,2,1,1,2,1,3.29,3.88,3,2.5,0,0,4045,3680,4045,3680,135,135,12,4
26,2,2,5,1,2,1,2,1,3.88,3.75,4,4,0,0,1000,1000,1000,1000,33,33,3,2
25,2,2,5,2,2,1,2,1,3.88,3.75,4,4,0,0,1885,1885,1885,1885,63,63,7,3
30,2,1,1,2,1,1,2,1,3.71,3.75,4,3.25,1,1,3525,545,3112,132,104,104,9,4
27,2,1,5,2,2,1,2,1,3.65,3.75,3,4.25,0,0,2585,2585,2585,2585,86,86,8,4
24,2,2,5,2,2,2,2,1,3.76,4,3.6,3.5,0,0,1155,425,1155,425,39,39,4,3
34,2,1,2,2,1,1,2,1,4.24,4.25,4.4,4,1,1,4345,575,3589,-181,120,120,10,4
27,2,2,5,2,1,2,2,1,4.35,4.88,4,3.75,1,1,2585,760,2174,349,72,72,7,3
31,2,2,1,2,1,1,2,1,4.12,4.13,4.2,4,1,1,1490,1305,926,741,31,31,3,2
33,2,1,1,1,1,1,2,3,3.35,3.63,3.4,2.75,0,0,3680,820,3680,820,123,123,11,4
25,2,2,1,2,1,2,2,1,4.41,4.63,4.2,4.25,1,1,515,425,347,257,12,12,1,1
33,2,1,5,2,1,1,3,1,3.88,3.63,4.4,3.75,1,1,4045,575,3774,304,126,126,11,4
33,2,1,5,1,2,1,1,1,3.94,3.88,4,4,0,0,4345,4345,4345,4345,145,145,13,4
33,2,1,2,1,1,2,2,1,3.47,3.63,3.2,3.5,0,0,3680,1155,3680,1155,123,123,11,4
31,2,1,1,1,2,2,2,1,3.88,3.63,4.2,4,0,0,3315,1550,3315,1550,111,111,10,4
28,2,2,5,2,1,1,2,1,3.88,3.38,4.4,4.25,1,1,1425,695,794,64,26,26,3,2
27,2,2,5,2,2,1,2,1,3.47,3.5,3.8,3,0,0,1155,970,1155,970,39,39,4,3
28,2,2,5,2,2,1,2,1,3.35,3.38,3.8,2.75,1,1,2675,485,2537,347,85,85,8,4
33,2,1,5,1,1,1,3,5,3.35,3,3.8,3.5,0,0,2795,760,2795,760,93,93,8,4
43,2,1,5,1,1,2,2,5,3.47,3.13,4,3.5,0,0,4345,1490,4345,1490,145,145,13,4
28,2,2,3,2,1,2,2,4,3.41,3.13,3.8,3.5,0,0,1125,2220,1125,2220,38,38,4,3
25,2,2,2,2,2,2,3,1,3.88,4.25,3.6,3.5,1,1,760,455,196,-109,7,7,1,1
26,2,2,5,1,1,1,2,1,3.71,3.38,4.4,3.5,0,0,2095,790,2095,790,70,70,7,3
30,2,2,1,2,2,2,3,1,3.59,3.63,4,3,1,1,3010,1640,2238,868,75,75,7,4
30,2,1,1,2,1,2,2,1,2.88,3,2.6,3,0,0,3375,2675,3375,2675,113,113,10,4
29,2,2,5,2,2,1,2,1,3.71,3.75,4.2,3,0,0,3770,485,3770,485,126,126,11,4
24,2,2,5,2,1,1,3,1,3.82,4.38,3.4,3.25,1,1,1365,1365,976,976,33,33,3,2
38,2,2,5,1,2,1,2,1,2.82,2.63,3.2,2.75,1,1,4285,575,4025,315,134,134,12,4
28,2,2,5,1,2,1,3,5,3.41,3.5,3.6,3,0,0,3220,3220,3220,3220,107,107,9,4
31,2,1,3,2,1,2,3,1,3.12,2.25,4.4,3.25,0,0,4045,4045,4045,4045,135,135,12,4
28,2,2,2,2,2,2,2,1,4,4.13,4,3.75,1,1,3345,395,3188,238,106,106,9,4
31,2,1,5,1,1,1,2,1,3.71,3.75,3.6,3.75,0,0,2615,665,2615,665,87,87,8,4
30,2,2,5,2,2,2,3,1,3.59,3.25,4,3.75,0,0,3890,1395,3890,1395,130,130,11,4
31,2,2,5,1,1,1,2,1,3.82,3.88,3.8,3.75,0,0,3890,3010,3890,3010,130,130,11,4
32,2,1,3,1,2,2,2,1,3.41,3.5,3.4,3.25,0,0,3315,2950,3315,2950,111,111,10,4
30,2,1,5,2,2,2,2,2,3.94,4,4,3.75,0,0,3615,1790,3615,1790,121,121,11,4
33,2,1,1,2,1,1,3,1,3,3,3,3,0,0,3495,1520,3495,1520,117,117,10,4
35,2,1,1,3,1,2,3,1,4,4.13,3.8,4,0,0,4345,4345,4345,4345,145,145,13,4
27,2,2,5,1,2,2,2,1,3.76,4.13,3.6,3.25,0,0,3315,3315,3315,3315,111,111,10,4
31,2,2,5,2,1,2,2,1,4.06,4.25,4,3.75,0,0,2735,1125,2735,1125,91,91,8,4
26,2,2,1,2,1,2,2,5,3.59,3.38,3.8,3.75,1,1,2950,515,2539,104,85,85,8,4
33,2,2,5,2,1,1,2,1,4.12,4.13,4,4.25,0,0,3710,790,3710,790,124,124,11,4
26,2,2,5,2,1,2,3,1,3.82,3.63,4,4,0,0,2155,910,2155,910,72,72,7,3
26,2,2,5,2,2,1,3,1,3.76,3.75,4,3.5,0,0,1550,1125,1550,1125,52,52,6,3
26,2,2,5,2,2,2,3,1,3.82,3.75,3.8,4,0,0,1185,1185,1185,1185,40,40,4,3
25,2,2,2,2,1,2,2,1,3.82,3.75,4.2,3.5,0,0,1335,970,1335,970,45,45,4,3
37,2,1,1,1,1,2,2,1,4.06,4.13,4,4,0,0,4045,2490,4045,2490,135,135,12,4
33,2,2,5,1,2,2,1,1,4.29,4.5,3.8,4.5,1,1,4045,395,3866,216,129,129,11,4
27,2,2,1,1,1,1,3,1,3.53,3.75,3.4,3.25,0,0,2460,1520,2460,1520,82,82,7,4
26,2,2,1,2,1,2,1,1,3.76,3.63,4.2,3.5,0,0,910,910,910,910,30,30,3,2
29,2,2,1,2,1,2,1,1,4.59,4.5,4.6,4.75,0,0,2250,1520,2250,1520,75,75,7,4
33,2,1,5,1,1,2,3,1,3.76,3.75,4,3.5,0,0,4045,1275,4045,1275,135,135,12,4
40,2,1,1,3,1,1,3,4,3.53,3.63,3.4,3.5,0,0,3070,910,3070,910,102,102,9,4
26,2,2,5,1,2,1,2,1,4,4,4.2,3.75,0,0,2460,1855,2460,1855,82,82,7,4
28,2,2,1,1,1,1,2,1,4.18,4,4.2,4.5,0,0,2340,820,2340,820,78,78,7,4
29,2,2,5,1,1,2,2,5,3.76,3.5,4,4,0,0,2950,2220,2950,2220,98,98,9,4
27,2,2,1,1,2,2,2,1,3.47,3.5,3.8,3,1,1,2585,455,2386,256,80,80,7,4
30,2,2,3,1,2,2,2,1,4.18,4.25,4.2,4,0,0,4045,1335,4045,1335,135,135,12,4
28,2,2,1,2,1,2,1,1,3.76,3.75,4.2,3.25,0,0,2980,1125,2980,1125,99,99,9,4
30,2,2,1,2,2,1,3,5,3.12,3.25,3.2,2.75,0,0,3345,1155,3345,1155,112,112,10,4
23,2,2,5,1,1,1,3,1,2.94,2.75,3.4,2.75,0,0,2950,1125,2950,1125,98,98,9,4
31,2,2,5,3,2,2,2,1,4,3.75,4.4,4,0,0,4345,3315,4345,3315,145,145,13,4
29,2,1,5,1,2,1,2,1,3.47,4,3,3,0,0,2645,455,2645,455,88,88,8,4
29,2,1,3,2,1,1,2,3,3.82,3.75,4,3.75,0,1,2280,1125,2203,1048,73,73,7,4
31,2,2,1,2,2,1,3,1,3.82,3.75,4,3.75,0,0,3465,2005,3465,2005,116,116,10,4
39,2,1,5,2,2,1,1,1,4,4,4,4,0,0,1335,1335,1335,1335,45,45,4,3
29,2,1,5,2,2,1,2,1,3.41,3.38,3.6,3.25,0,0,2615,1335,2615,1335,87,87,8,4
29,2,2,5,2,1,1,2,1,3.82,3.88,4.2,3.25,0,0,2585,395,2585,395,86,86,8,4
28,2,2,5,2,1,1,2,1,3.53,3.5,4,3,1,1,1245,880,681,316,23,23,2,2
28,2,2,5,2,1,1,2,1,4.65,4.63,4.6,4.75,0,0,3740,820,3740,820,125,125,11,4
26,2,2,3,2,1,2,2,5,3.76,3.5,4,4,1,1,2430,545,2340,455,78,78,7,4
26,2,2,5,2,2,2,2,1,3.06,2.88,3.2,3.25,0,0,2950,2950,2950,2950,98,98,9,4
28,2,2,2,1,2,1,2,1,3.18,3.13,3.4,3,1,1,3250,695,2898,343,97,97,9,4
35,2,1,3,2,1,2,2,1,4.41,4.88,4,4,0,0,4255,2735,4255,2735,142,142,12,4
30,2,1,1,2,1,1,2,1,3.47,3.63,3.6,3,0,0,2220,545,2220,545,74,74,7,4
35,2,1,5,3,1,2,2,1,4.88,4.75,5,5,0,0,4345,2340,4345,2340,145,145,13,4
35,2,1,2,1,2,1,3,1,3.53,3.38,3.8,3.5,0,0,4345,1060,4345,1060,145,145,13,4
26,2,2,5,2,2,1,3,1,3.76,3.63,3.8,4,0,0,1490,760,1490,760,50,50,6,3
25,2,2,5,1,1,1,3,5,3.12,3.13,3.2,3,1,1,1975,1975,1534,1534,51,51,6,3
28,2,1,2,1,1,2,3,3,3.82,3.88,3.8,3.75,0,0,3100,1155,3100,1155,103,103,9,4
33,2,2,5,2,2,2,2,1,3.71,3.88,3.4,3.75,0,0,4045,4045,4045,4045,135,135,12,4
26,2,1,5,2,2,2,2,3,3.71,3.38,4,4,0,0,2310,1945,2310,1945,77,77,7,4
28,2,2,1,2,2,1,2,1,3.94,4.25,4,3.25,0,0,2585,1000,2585,1000,86,86,8,4
27,2,2,3,2,1,1,2,1,3.94,4,3.8,4,0,0,1520,1155,1520,1155,51,51,6,3
31,2,1,5,1,1,2,2,5,3.71,3.75,4,3.25,0,0,4195,1275,4195,1275,140,140,12,4
30,2,1,5,1,2,2,3,1,3.18,3.13,3.2,3.25,0,0,2585,485,2585,485,86,86,8,4
27,2,2,5,2,1,2,2,1,3.35,3.5,3,3.5,1,1,2645,515,2385,255,80,80,7,4
26,2,2,5,1,1,1,3,5,3.53,3.13,4,3.75,0,0,2795,1670,2795,1670,93,93,8,4
30,2,1,1,1,1,2,2,5,3.59,3.5,3.8,3.5,0,0,3555,1580,3555,1580,119,119,10,4
28,2,2,5,3,2,1,3,1,3.12,3.13,3,3.25,1,1,3315,575,2843,103,95,95,8,4
26,2,2,1,2,2,1,2,1,3.47,3.5,3.6,3.25,1,1,1185,1185,764,764,25,25,3,2
25,2,2,5,2,2,1,3,1,3.59,3.63,3.6,3.5,1,1,1335,425,1151,241,38,38,4,3
34,2,1,5,1,2,2,3,2,4,4.25,4.2,3.25,0,0,2035,1030,2035,1030,68,68,7,3
26,2,2,5,2,2,1,2,1,3.35,3.63,3.4,2.75,0,0,2950,395,2950,395,98,98,9,4
25,2,2,5,2,2,2,2,1,3.88,3.75,3.8,4.25,0,0,1155,1155,1155,1155,39,39,4,3
27,2,2,5,2,2,2,3,1,3.06,2.88,3.4,3,0,0,2250,1335,2250,1335,75,75,7,4
24,2,2,1,2,1,1,3,5,5,5,5,5,1,1,1915,395,1869,349,62,62,7,3
33,2,1,5,2,2,2,2,1,4,3.38,4.4,4.75,0,0,3345,1125,3345,1125,112,112,10,4
27,2,2,5,2,1,1,3,1,2.94,2.88,3.4,2.5,0,0,3315,3315,3315,3315,111,111,10,4
34,2,1,1,1,2,1,2,1,3.53,3.5,3.6,3.5,1,1,2705,455,2506,256,84,84,7,4
29,2,1,5,2,1,2,2,1,4,4.25,4,3.5,0,1,2885,940,2686,741,90,90,8,4
30,2,2,1,2,1,1,2,3,3.59,3.5,4,3.25,0,0,1335,820,1335,820,45,45,4,3
28,2,2,3,1,1,2,2,5,4.24,4.5,4.2,3.75,0,0,3315,1520,3315,1520,111,111,10,4
26,2,2,1,1,1,2,2,1,3.53,3.75,3.2,3.5,0,0,1855,1855,1855,1855,62,62,7,3
27,2,1,5,1,2,2,2,1,3.88,3.63,4.6,3.5,1,1,1885,790,1481,386,49,49,6,3
27,2,2,3,1,2,2,2,1,3.24,3.13,3.2,3.5,0,0,3315,1215,3315,1215,111,111,10,4
28,2,2,5,1,2,1,3,5,3.88,3.88,4,3.75,0,0,3315,1640,3315,1640,111,111,10,4
29,2,2,5,2,2,1,2,3,4.12,4.38,4.2,3.5,1,1,3220,455,2740,-25,91,91,8,4
33,2,2,5,2,1,2,2,1,3.47,3.63,3.4,3.25,1,1,4075,1125,3816,866,127,127,11,4
28,2,2,3,1,1,1,2,1,3.59,3.5,4,3.25,0,0,3220,1760,3220,1760,107,107,9,4
28,2,2,5,2,1,1,3,1,3,3,3,3,1,1,2950,2950,2799,2799,93,93,8,4
29,2,2,5,2,1,2,2,1,3.82,3.88,3.6,4,0,0,2735,1335,2735,1335,91,91,8,4
26,2,1,5,1,1,2,2,1,3.82,3.88,3.8,3.75,0,0,2125,575,2125,575,71,71,7,3
30,2,2,1,2,2,2,3,4,3.94,4,4,3.75,0,0,4045,3800,4045,3800,135,135,12,4
30,2,2,1,2,2,2,2,1,4.24,4.5,3.8,4.25,1,1,2220,2220,1779,1779,59,59,6,3
30,2,2,5,2,2,1,2,1,3.29,3.13,3.8,3,0,0,1155,1155,1155,1155,39,39,4,3
26,2,2,3,2,2,2,2,4,3.88,3.88,4,3.75,0,0,1855,1855,1855,1855,62,62,7,3
32,2,2,5,1,1,2,3,5,3.53,3,4.2,3.75,0,0,4135,1245,4135,1245,138,138,12,4
27,2,2,1,2,1,1,4,3,3.29,3.25,3.6,3,0,0,3495,1030,3495,1030,117,117,10,4
27,2,2,5,2,2,1,2,1,3.06,3.25,3,2.75,1,1,2220,820,1625,225,54,54,6,3
29,2,2,5,2,2,2,2,1,3.35,3.5,3.4,3,0,0,2220,2220,2220,2220,74,74,7,4
30,1,2,5,1,1,2,1,3,3.82,3.75,4,3.75,0,0,2585,1855,2585,1855,86,86,8,4
29,2,2,5,2,2,1,2,1,3.88,4.38,3.6,3.25,1,1,2980,820,2205,45,74,74,7,4
24,2,2,5,2,1,2,3,1,3.35,3.25,3.6,3.25,1,1,1125,665,533,73,18,18,2,2
26,2,2,5,2,2,1,3,1,3.71,3.63,4.2,3.25,0,0,2250,2005,2250,2005,75,75,7,4
28,2,2,5,2,1,2,2,1,3.76,3.75,4,3.5,0,0,3555,2460,3555,2460,119,119,10,4
33,2,1,1,2,1,1,3,1,3.53,4,2.8,3.5,0,0,2220,760,2220,760,74,74,7,4
34,2,1,3,1,1,2,2,1,3.53,3.63,3.8,3,1,1,2855,760,2322,227,77,77,7,4
33,2,2,1,1,1,2,1,4,2.88,2.88,3.2,2.5,0,0,4135,3830,4135,3830,138,138,12,4
28,2,2,5,1,2,2,2,1,2.94,3,3,2.75,0,0,1640,1275,1640,1275,55,55,6,3
24,2,2,5,2,2,1,3,1,3.59,3.63,3.4,3.75,1,1,820,820,164,164,5,5,1,1
27,2,2,5,1,2,2,3,1,3.47,3.5,3.6,3.25,0,0,3315,1885,3315,1885,111,111,10,4
30,2,2,1,2,1,2,3,1,3.53,3.38,3.8,3.5,0,0,2615,1490,2615,1490,87,87,8,4
36,1,1,1,1,2,1,1,1,3.59,3.63,3.8,3.25,1,1,2400,820,1897,317,63,63,7,3
32,1,2,3,2,2,2,2,1,3.71,4,3.4,3.5,0,0,4135,1550,4135,1550,138,138,12,4
37,2,1,1,1,1,2,3,1,3.53,3.38,3.6,3.75,0,0,4045,3315,4045,3315,135,135,12,4
27,2,2,2,2,1,1,3,1,4,4.13,4,3.75,0,0,3375,1550,3375,1550,113,113,10,4
30,2,1,5,2,2,1,2,1,4.12,3.63,4.4,4.75,0,0,2430,695,2430,695,81,81,7,4
31,1,2,1,2,1,2,2,1,3.65,3.75,3.8,3.25,0,0,3680,2220,3680,2220,123,123,11,4
26,2,2,5,2,1,1,2,3,4,4,4,4,0,0,1125,1490,1125,1490,38,38,4,3
24,2,2,5,2,2,1,3,1,3.35,3.63,3.4,2.75,1,1,2155,910,1574,329,52,52,6,3
27,2,2,5,2,2,1,2,1,4.12,4.38,3.8,4,1,1,1975,940,1258,223,42,42,4,3
27,2,2,5,2,2,2,2,1,3.88,3.88,3.8,4,0,0,2735,665,2735,665,91,91,8,4
27,2,2,5,2,2,1,3,4,3.59,3.38,4,3.5,1,1,2980,545,2787,352,93,93,8,4
26,2,2,1,2,1,1,2,1,3.94,3.88,4,4,1,1,2035,2035,1978,1978,66,66,7,3
29,2,2,5,1,1,2,2,1,3.71,3.63,3.6,4,0,0,1215,1885,1215,1885,41,41,4,3
26,2,1,5,2,1,1,3,1,3.88,3.88,4,3.75,0,0,2520,760,2520,760,84,84,7,4
26,2,2,5,1,1,1,2,1,3.88,3.75,4.4,3.5,0,0,2095,1000,2095,1000,70,70,7,3
35,2,1,5,1,2,2,2,3,3.88,3.88,4.2,3.5,0,0,2095,1245,2095,1245,70,70,7,3
32,2,1,3,1,2,2,2,1,3.29,3.38,3.4,3,0,0,2490,2490,2490,2490,83,83,7,4
28,2,2,2,2,2,2,1,5,4.76,4.63,5,4.75,0,0,2370,1855,2370,1855,79,79,7,4
29,2,1,1,2,2,2,3,5,4,3.88,4.2,4,0,0,3830,2005,3830,2005,128,128,11,4
27,2,2,5,1,2,1,2,3,4.06,3.88,4.6,3.75,0,0,2370,2370,2370,2370,79,79,7,4
29,2,2,5,2,1,1,2,1,3.82,3.88,3.8,3.75,0,0,3615,2005,3615,2005,121,121,11,4
27,2,2,2,1,2,2,2,5,3.47,3.25,3.6,3.75,0,0,3250,760,3250,760,108,108,9,4
30,2,2,2,1,2,2,3,5,3.47,4,3,3,1,1,2735,605,2444,314,81,81,7,4
27,2,2,5,2,1,2,2,1,4.65,4.75,4.6,4.5,0,0,2855,605,2855,605,95,95,8,4
26,2,2,5,2,2,2,2,1,4.06,4.5,3.8,3.5,0,0,1760,1490,1760,1490,59,59,6,3
23,2,2,1,1,1,1,2,1,4.18,4.63,3.6,4,1,1,1155,395,864,104,29,29,3,2
27,2,2,5,2,1,2,4,5,4.12,4,4.2,4.25,0,0,1580,1490,1580,1490,53,53,6,3
32,2,2,1,2,1,1,3,1,3.35,4,2.6,3,0,0,3375,1395,3375,1395,113,113,10,4
35,2,2,5,2,2,1,3,1,4,3.63,4.4,4.25,0,0,4045,1855,4045,1855,135,135,12,4
28,2,2,5,2,1,1,2,1,3.94,3.88,4.4,3.5,0,0,2615,1305,2615,1305,87,87,8,4
32,2,2,5,1,1,2,2,5,3,2.88,3.4,2.75,1,1,2585,425,2325,165,78,78,7,4
25,2,2,2,2,2,1,3,1,4,4.38,4,3.25,0,0,1215,1215,1215,1215,41,41,4,3
49,2,1,1,2,1,1,1,1,3.71,3.75,3.8,3.5,0,0,3890,910,3890,910,130,130,11,4
33,2,2,2,2,1,2,2,1,4.12,4.25,3.6,4.5,0,0,4045,1000,4045,1000,135,135,12,4
25,2,2,5,2,1,2,2,3,4.06,4,4.2,4,0,0,1580,1490,1580,1490,53,53,6,3
29,2,1,5,1,2,2,2,3,3.82,3.63,3.8,4.25,0,0,2735,515,2735,515,91,91,8,4
30,2,2,5,2,2,1,2,5,3.76,3.63,4,3.75,1,1,2220,455,2087,322,70,70,7,3
38,2,1,5,2,1,2,4,1,3.88,4.38,3.6,3.25,0,0,3800,820,3800,820,127,127,11,4
28,2,2,5,2,2,1,3,3,3.47,3.25,4,3.25,1,1,2585,1640,1878,933,63,63,7,3
27,2,2,2,2,2,2,2,5,3.82,3.63,4,4,0,0,1855,970,1855,970,62,62,7,3
27,2,2,1,2,1,1,2,1,3.12,3,3.4,3,1,1,1855,1125,1475,745,49,49,6,3
30,2,2,5,1,2,2,2,3,3.76,3.38,4,4.25,0,0,3950,1855,3950,1855,132,132,11,4
30,2,2,2,2,1,1,3,5,3.29,3.63,3,3,1,1,3740,605,3480,345,116,116,10,4
25,2,2,5,2,1,1,3,5,3.94,3.75,4.4,3.75,1,1,2220,850,1687,317,56,56,6,3
33,2,2,1,2,1,2,4,1,3.65,3.88,3.4,3.5,0,0,4045,2735,4045,2735,135,135,12,4
31,2,1,1,1,2,2,3,1,4.24,4.13,4.4,4.25,1,1,2520,545,2118,143,71,71,7,3
29,2,2,2,1,2,2,3,1,3.88,3.75,4.4,3.5,0,0,3220,455,3220,455,107,107,9,4
35,2,1,1,2,2,2,2,1,4.35,4.38,4.4,4.25,1,1,3345,395,3177,227,106,106,9,4
27,2,2,5,2,2,2,3,1,3.29,3.13,3.8,3,0,0,2735,1000,2735,1000,91,91,8,4
53,2,1,5,1,1,2,2,1,3.82,3.88,3.8,3.75,1,1,4315,4315,3906,3906,130,130,11,4
27,2,2,1,2,1,2,3,5,3.82,3.63,4,4,0,0,2430,1550,2430,1550,81,81,7,4
28,2,2,5,2,1,1,3,1,3.65,3.63,3.4,4,1,1,1185,455,810,80,27,27,3,2
28,2,2,2,2,1,1,3,1,3.59,3.63,3.6,3.5,1,1,1520,790,864,134,29,29,3,2
22,2,2,5,1,2,1,2,5,3.53,3.88,3.4,3,0,0,1335,1335,1335,1335,45,45,4,3
30,2,1,5,1,1,1,3,5,3.88,3.75,3.8,4.25,0,0,2585,1490,2585,1490,86,86,8,4
35,2,1,1,2,1,2,2,1,3.76,3.75,4.4,3,1,1,2520,545,2343,368,78,78,7,4
25,2,2,5,2,2,1,3,3,3.76,3.63,4.6,3,0,0,1245,485,1245,485,42,42,4,3
29,2,2,5,2,2,2,3,4,3.71,3.38,4,4,1,1,2370,455,2203,288,73,73,7,4
25,2,2,1,2,2,1,2,1,3.53,3.75,3.2,3.5,1,1,2005,1275,1746,1016,58,58,6,3
33,2,2,4,2,1,1,2,1,3.35,3.88,2.8,3,0,0,1275,1125,1275,1125,43,43,4,3
26,2,2,5,2,2,1,2,3,4.29,3.88,4.6,4.75,1,1,1490,395,715,-380,24,24,2,2
26,2,1,2,2,1,1,3,1,4,4.25,4,3.5,1,1,1855,1490,1748,1383,58,58,6,3
31,2,1,1,3,1,2,3,1,4,4.13,3.8,4,0,0,3315,1490,3315,1490,111,111,10,4
25,2,2,2,2,1,1,3,1,3.94,3.63,4.4,4,0,0,1490,1490,1490,1490,50,50,6,3
25,2,2,1,2,2,2,1,1,4.65,4.75,4.8,4.25,0,0,1580,1490,1580,1490,53,53,6,3
30,2,1,1,2,1,1,2,1,4,4.38,3.6,3.75,0,0,1640,1550,1640,1550,55,55,6,3
30,2,2,5,2,2,1,2,1,3.94,4.13,4,3.5,0,0,4045,2250,4045,2250,135,135,12,4
39,2,1,5,2,2,2,2,1,3.94,3.88,4,4,1,1,4345,485,4177,317,139,139,12,4
31,2,1,3,2,1,2,2,3,3.65,3.63,3.8,3.5,0,0,3680,2220,3680,2220,123,123,11,4
28,2,2,5,1,1,2,2,1,4.06,3.88,4.4,4,0,0,3585,1915,3585,1915,120,120,10,4
32,2,1,1,2,2,1,3,1,3.12,3.38,3.2,2.5,0,0,4345,2250,4345,2250,145,145,13,4
39,2,1,1,1,2,2,2,1,2.94,3.13,3,2.5,0,0,1855,1760,1855,1760,62,62,7,3
35,2,1,5,2,2,2,2,4,4.29,4.5,4.4,3.75,1,1,2155,455,1773,73,59,59,6,3
40,2,1,5,1,1,2,4,3,3.47,3.38,3.6,3.5,1,1,3315,3315,2995,2995,100,100,9,4
24,2,2,5,1,2,2,3,5,3.59,3.63,3.6,3.5,1,1,2035,455,1684,104,56,56,6,3
30,2,2,5,1,1,2,2,1,3.24,3.38,3,3.25,0,0,3315,1125,3315,1125,111,111,10,4
24,2,2,3,2,1,1,2,5,4,4,4,4,0,0,1700,1125,1700,1125,57,57,6,3
24,2,2,1,2,2,1,3,1,4.18,3.88,4.8,4,0,0,1490,1125,1490,1125,50,50,6,3
27,2,2,3,2,1,1,3,5,3.65,3.5,4.4,3,0,0,2585,635,2585,635,86,86,8,4
28,2,2,5,2,1,2,2,1,3.76,3.88,3.8,3.5,0,0,3615,1790,3615,1790,121,121,11,4
34,2,2,3,1,1,1,2,5,3.35,3.5,3.4,3,0,0,4315,1155,4315,1155,144,144,12,4
30,2,2,5,2,1,2,2,5,4.12,3.75,4.8,4,0,0,4045,2280,4045,2280,135,135,12,4
