나이,성별,결혼,종교_최종,학위_최종,부서,이직계획유무,건강상태_최종,근무지역_최종,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직+퇴직여부,임상경력(일),최종임상경력(일),최종임상경력(월),최종임상경력(년),병동경력(일),년차_최종,연차별시작문항응답,연차별최종문항응답
32,2,1,1,1,2,1,2,1,4.06,4.25,4,3.75,0,0,850,850,28,3,850,1,123,123
28,2,2,2,2,2,2,1,2,3.59,3.25,4,3.75,0,0,3220,3220,107,9,1125,3,123,123
26,2,2,2,2,2,1,1,1,3.59,3.63,3.8,3.25,0,0,2765,2765,92,8,1305,3,13,13
27,2,2,2,1,1,2,2,2,3.65,4.13,3.2,3.25,0,0,3615,3615,121,11,1885,3,123,123
24,2,2,1,2,2,1,1,1,4.47,4.63,4.8,3.75,1,1,1490,896,30,3,910,1,123,123
27,2,2,2,2,1,2,2,1,3.71,3.88,4,3,0,0,2980,2980,99,9,1520,3,123,123
29,2,2,2,2,2,2,1,1,3.59,3.63,3.6,3.5,0,0,2735,2735,91,8,2735,3,13,13
30,2,2,1,2,2,1,1,1,3.47,3.75,3,3.5,1,1,2220,1904,63,7,605,2,13,13
24,2,2,1,2,2,1,2,1,4,4,4,4,0,0,1760,1760,59,6,760,2,13,13
25,2,2,1,1,2,2,1,1,3.59,3.88,3.6,3,0,0,2585,2585,86,8,2585,3,123,123
26,2,2,2,2,2,2,1,1,3.53,3.88,3.4,3,0,0,4045,4045,135,12,760,3,13,13
31,2,1,2,2,2,2,1,1,3.18,2.63,4.4,2.75,0,0,4345,4345,145,13,4345,3,13,13
25,2,2,2,2,1,2,1,1,4.24,4.63,4,3.75,0,0,1335,1335,45,4,1335,2,123,123
32,2,2,1,2,1,2,1,2,4,4,4,4,0,0,1945,1945,65,7,1125,2,13,13
37,2,2,2,2,1,1,2,1,3.71,3.38,4.6,3.25,0,0,2095,2095,70,7,1125,2,13,13
25,1,2,1,2,2,1,1,1,3.94,3.75,4,4.25,1,1,1520,1475,49,6,395,2,123,123
29,1,2,2,2,2,1,2,1,5,5,5,5,0,0,2250,2250,75,7,2250,3,123,123
29,2,2,2,2,2,2,1,1,4,3.88,4.6,3.5,1,1,1520,1079,36,3,760,1,123,123
29,2,2,1,2,1,2,2,2,3.29,3.38,3.4,3,0,0,3375,3375,113,10,2980,3,13,13
27,2,1,2,2,2,1,1,1,3.65,3.5,4,3.5,0,0,2585,2585,86,8,1945,3,123,123
29,2,2,2,1,1,1,1,2,3.06,2.88,3.2,3.25,1,1,2825,2103,70,7,880,2,123,123
26,1,2,2,2,2,2,1,1,4.12,4.13,4.4,3.75,0,0,1520,1520,51,6,1155,2,123,123
36,2,1,1,2,1,1,2,1,4.53,4.63,4.6,4.25,0,0,4075,4075,136,12,1610,3,13,13
30,2,1,2,2,2,1,2,1,3,3,3,3,1,1,4045,3907,130,11,425,3,13,13
30,2,2,2,2,2,1,2,1,3.82,3.75,4.4,3.25,1,1,3465,3235,108,9,575,3,123,123
26,2,2,2,2,2,1,2,1,3.94,4,4,3.75,0,0,2095,2095,70,7,1550,2,13,13
40,2,1,1,1,2,2,2,1,3.71,3.75,3.6,3.75,0,0,4345,4345,145,13,4345,3,13,13
